Date,Adj Close,Close,High,Low,Open,Volume
2015-03-02,28.731122970581055,32.272499084472656,32.56999969482422,32.07500076293945,32.3125,192386800
2015-03-03,28.79122543334961,32.34000015258789,32.380001068115234,32.022499084472656,32.2400016784668,151265200
2015-03-04,28.608713150024414,32.1349983215332,32.38999938964844,32.08000183105469,32.275001525878906,126665200
2015-03-05,28.1346435546875,31.602500915527344,32.1875,31.440000534057617,32.14500045776367,226068400
2015-03-06,28.176931381225586,31.649999618530273,32.342498779296875,31.565000534057617,32.099998474121094,291368400
2015-03-09,28.297119140625,31.78499984741211,32.39250183105469,31.264999389648438,31.989999771118164,354114000
2015-03-10,27.71176528930664,31.127500534057617,31.80500030517578,30.950000762939453,31.602500915527344,275426400
2015-03-11,27.206539154052734,30.559999465942383,31.1924991607666,30.52750015258789,31.1875,275756000
2015-03-12,27.69841194152832,31.112499237060547,31.225000381469727,30.407499313354492,30.577499389648438,193450800
2015-03-13,27.50700569152832,30.897499084472656,31.350000381469727,30.645000457763672,31.100000381469727,207309200
2015-03-16,27.809696197509766,31.237499237060547,31.237499237060547,30.717500686645508,30.969999313354492,143497200
2015-03-17,28.27486228942871,31.760000228881836,31.829999923706055,31.412500381469727,31.475000381469727,204092400
2015-03-18,28.5931339263916,32.11750030517578,32.290000915527344,31.592500686645508,31.75,261083600
2015-03-19,28.377246856689453,31.875,32.3125,31.850000381469727,32.1875,183238000
2015-03-20,28.021137237548828,31.475000381469727,32.099998474121094,31.290000915527344,32.0625,274780400
2015-03-23,28.312692642211914,31.802499771118164,31.962499618530273,31.6299991607666,31.780000686645508,150838800
2015-03-24,28.196964263916016,31.672500610351562,32.0099983215332,31.639999389648438,31.8075008392334,131369200
2015-03-25,27.460262298583984,30.844999313354492,31.704999923706055,30.844999313354492,31.635000228881836,206620800
2015-03-26,27.65167808532715,31.059999465942383,31.219999313354492,30.649999618530273,30.690000534057617,190291600
2015-03-27,27.431331634521484,30.8125,31.174999237060547,30.727500915527344,31.142499923706055,158184800
2015-03-30,28.1257381439209,31.592500686645508,31.600000381469727,31.0,31.012500762939453,188398800
2015-03-31,27.69395637512207,31.107500076293945,31.622499465942383,31.09000015258789,31.522499084472656,168362400
2015-04-01,27.65389633178711,31.0625,31.280000686645508,30.774999618530273,31.204999923706055,162485600
